ward_code,min_lon,min_lat,max_lon,max_lat
81110,6.488515,13.045596,6.53619,13.074176
RVSNDN06,7.385029,4.433625,7.409112,4.489325
CRSANA12,8.22243,4.844292,8.351236,4.987118
BYSSPR09,5.687409,4.369549,5.98169,4.563123
BYSSPR07,5.532057,4.509705,5.778924,4.812345
CRSKTA02,8.302391,4.774918,8.435907,4.927753
CRSBKS10,8.454202,4.68874,8.511834,4.738385
BYSBRS10,5.843041,4.305734,6.050616,4.45848
BYSBRS03,6.264163,4.290951,6.295697,4.32025
BYSKMR01,5.375165,4.898567,5.517607,5.139274
81109,6.479649,13.065265,6.520096,13.087563
81203,6.0921,12.121615,6.211159,12.316313
RVSNDN07,7.464537,4.443878,7.590608,4.496075
AKSRNN04,8.249109,4.77167,8.309542,4.836508
AKSRNN06,8.232547,4.798088,8.280519,4.858411
AKSRNN05,8.247966,4.792454,8.266344,4.819877
DTSBUR08,5.443864,5.055248,5.59072,5.204325
AKSBYF01,8.238004,4.715811,8.319883,4.765538
AKSENW06,8.217278,4.554757,8.334935,4.623324
AKSKRT09,7.602309,4.468633,7.64122,4.494366
AKSKRT08,7.737354,4.508119,7.774487,4.538228
AKSKRT04,7.678876,4.494668,7.745217,4.533583
AKSPNG09,8.175843,4.534965,8.30072,4.594372
AKSPNG10,8.025754,4.542754,8.181834,4.601578
AKSBYF04,8.236731,4.7607,8.312551,4.775565
RVSNDN10,7.262322,4.436478,7.40551,4.597422
CRSANA09,8.309198,4.924018,8.32601,4.947784
CRSANA08,8.3222,4.925282,8.333738,4.945692
CRSANA05,8.328188,4.939856,8.346956,4.95262
CRSANA04,8.318356,4.943837,8.339074,4.956346
CRSANA02,8.347524,4.950053,8.366001,4.972967
51607,5.388993,10.947367,5.578292,11.114231
OYSOLE07,3.751209,8.821481,3.757892,8.834443
81103,6.458155,12.952042,6.5662,13.067474
81006,6.114378,12.026349,6.365269,12.312059
NASKEF01,7.871661,8.844042,7.889876,8.856459
OGSABS06,3.329412,7.122375,3.349937,7.149589
80708,6.661634,12.150664,6.6858,12.173993
80705,6.567801,12.083837,6.669959,12.170162
AKSKET02,7.924656,4.643856,7.960821,4.673152
80703,6.620334,12.165343,6.664214,12.206021
80701,6.583038,12.15764,6.694713,12.230796
80505,6.480298,12.088335,6.673995,12.28763
80704,6.49711,11.564771,6.725669,11.88948
81308,6.777872,11.951795,6.963051,12.105154
80507,6.781549,12.077052,6.906787,12.24134
80710,6.570885,11.881345,6.756364,12.13571
KN3809,8.563119,11.944701,8.581086,11.96805
80709,6.673406,12.054487,6.828223,12.20238
